flags,utterance,category,intent
BILC,"I don't have an online account, what do I have to do to register?",ACCOUNT,create_account
BILQZ,can you tell me if i can regisger two accounts with a single email address?,ACCOUNT,create_account
BPLC,"I have no online account, open one, please",ACCOUNT,create_account
BIPLD,"could you ask an agent how to open an account, please?",ACCOUNT,create_account
BLQC,"i want an online account, create one",ACCOUNT,create_account
BSLC,"i want an account, i need help opening one",ACCOUNT,create_account
BLZ,tell me if I can register  two online accounts with the same email,ACCOUNT,create_account
BPLQ,i want to know if i could create two profiles with the same email address,ACCOUNT,create_account
BIMLQW,can you tell me if i can create more than one fucking user account with the same email?,ACCOUNT,create_account
BLZ,were to create an onlind account,ACCOUNT,create_account
BMLQ,i wanna know if i can create more than one user account with a single email address,ACCOUNT,create_account
BIL,can I create two online accounts with a single email?,ACCOUNT,create_account
BILC,"I don't have a user account, how do I create one?",ACCOUNT,create_account
BILQC,"I have no user account, what do I have to do to create one?",ACCOUNT,create_account
BMQ,I want to know if I can own several accounts,ACCOUNT,create_account
BILCZ,"I don't have a profile , can I creae one?",ACCOUNT,create_account
BSLC,"I don't have an online account, I need help creating one",ACCOUNT,create_account
BL,I want to know if I can register several user accounts with the same email address,ACCOUNT,create_account
BILC,"I want an account, what do I have to do to open one?",ACCOUNT,create_account
BPL,tell me if I could register two user accounts with a single email address,ACCOUNT,create_account
BSLCZ,"I don't have a account, I need help opening one",ACCOUNT,create_account
BILC,"I haven't got a user account, can you register?",ACCOUNT,create_account
BLC,I need a user account and I want to create one,ACCOUNT,create_account
BILC,"I need an online account, how can I open one?",ACCOUNT,create_account
BILC,"I don't have a profile, how do I create one?",ACCOUNT,create_account
BL,tell me if I can register two accounts with a single email address,ACCOUNT,create_account
BLC,"I haven't got an online account, help me open one",ACCOUNT,create_account
BILQC,"ive got no online account, what can i do to register?",ACCOUNT,create_account
BLQ,I want to know if I can register several profiles with the same email address,ACCOUNT,create_account
BSLQ,i need help registering,ACCOUNT,create_account
BML,i want to know if i can have several accounts,ACCOUNT,create_account
BSLC,"I need an account, I need help opening one",ACCOUNT,create_account
BIC,"i want to create an account, what do i have to do?",ACCOUNT,create_account
