Queries,Type
"""Are contactless payments available at your physical store?""",payments
"""Are electronic wallets accepted?""",payments
"""Are gift cards accepted?""",payments
"""Are personal checks accepted?""",payments
"""Are refunds issued in the same form of payment?""",payments
"""Are there any additional charges for tracking my order?""",track
"""Are there any additional fees for certain payment methods?""",payments
"""Are there any discount offers for specific payment methods?""",payments
"""Are there any limitations on using contactless payments?""",payments
"""Are there any limitations on using prepaid cards for payment?""",payments
"""Are there any limitations on using virtual credit cards for payment?""",payments
"""Are there any limits on contactless payment transactions?""",payments
"""Are there any loyalty programs or rewards associated with specific payment methods?""",payments
"""Are there any mobile apps specifically designed for tracking orders from your store?""",track
"""Are there any mobile-friendly order tracking options available?""",track
"""Are there any order tracking mobile apps recommended by your company?""",track
"""Are there any promotions or discounts for specific payment methods?""",payments
"""Are there any restrictions on credit card payments for certain products or services?""",payments
"""Are there any restrictions on debit card payments?""",payments
"""Are there any restrictions on payment methods for online orders?""",payments
"""Are there any restrictions on using credit cards for online transactions?""",payments
"""Are there any restrictions on using mobile payment apps for transactions?""",payments
"""Are there any service charges for credit card transactions?""",payments
"""Can I make a payment using a cashier's check?""",payments
"""Can I make a payment using a money transfer service like Western Union or MoneyGram?""",payments
"""Can I make payments using a wire transfer?""",payments
"""Can I opt-in for SMS notifications regarding my order's progress?""",track
"""Can I pay in installments with a credit card?""",payments
"""Can I pay using a bank card from a different country?""",payments
"""Can I pay using a cashier's check or money order by mail?""",payments
"""Can I pay using a corporate check?""",payments
"""Can I pay using a digital wallet like Paytm or Alipay?""",payments
"""Can I pay using a foreign bank draft?""",payments
"""Can I pay using a foreign currency?""",payments
"""Can I pay using a mobile app like Square or Venmo?""",payments
"""Can I pay using a mobile banking app?""",payments
"""Can I pay using a prepaid gift card?""",payments
"""Can I pay using a virtual currency like Bitcoin?""",payments
"""Can I pay using a virtual wallet like Venmo or Zelle?""",payments
"""Can I pay using an electronic funds transfer?""",payments
"""Can I pay using an international bank transfer?""",payments
"""Can I pay using contactless payment methods?""",payments
"""Can I pay using mobile wallets like Google Pay or Samsung Pay?""",payments
"""Can I pay with a cashier's check or money order in person?""",payments
"""Can I pay with a cashier's check?""",payments
"""Can I pay with a credit card?""",payments
"""Can I pay with a prepaid card?""",payments
"""Can I pay with a store credit or gift card?""",payments
"""Can I pay with a virtual credit card number?""",payments
"""Can I pay with PayPal?""",payments
"""Can I receive notifications or alerts regarding my order's progress?""",track
"""Can I set up automatic recurring payments?""",payments
"""Can I split the payment between multiple cards?""",payments
"""Can I track my order internationally?""",track
"""Can I track my order through a mobile app?""",track
"""Can I track my order using a third-party tracking service?""",track
"""Can I track my order using my billing address and last name?""",track
"""Can I track my order using my email address?""",track
"""Can I track my order using my phone number?""",track
"""Can I track my order using my social media account?""",track
"""Can I track my order using the order confirmation number?""",track
"""Can I track my order using the order reference number?""",track
"""Can I track my order using the package barcode or QR code?""",track
"""Can I track my order using the package weight or dimensions?""",track
"""Can I track my order using the product SKU or UPC code?""",track
"""Can I track my order using the shipment reference number?""",track
"""Can I track my order using the shipping carrier's website?""",track
"""Can I track my order using the shipping label number?""",track
"""Can I track my order using the shipping manifest or container number?""",track
"""Can I use a debit card to pay?""",payments
"""Can I use a virtual credit card for payment?""",payments
"""Can I use multiple payment methods for a single purchase?""",payments
"""Can you assist me in locating my order?""",track
"""Can you assist me in tracking my order if I don't have an account?""",track
"""Can you check the delivery status of my order?""",track
"""Can you check the status of my delivery and provide an estimated arrival time?""",track
"""Can you check the status of my delivery and provide an estimated arrival time?""",track
"""Can you check the status of my delivery and provide an estimated arrival time?""",track
"""Can you check the status of my delivery and provide an estimated arrival time?""",delivery
"""Can you check the status of my delivery and provide an estimated arrival time?""",delivery
"""Can you check the status of my delivery and provide an estimated arrival time?""",delivery
"""Can you check the status of my order for me?""",track
"""Can you describe the range of goods you offer?""",items
"""Can you describe the variety of goods you have for sale?""",items
"""Can you describe the variety of goods you offer?""",items
"""Can you describe your range of offerings?""",items
"""Can you explain the reason for the delay in my order's delivery?""",track
"""Can you explain the reason for the extended delivery time for my order?""",track
"""Can you explain the reason for the extended delivery time for my order?""",delivery
"""Can you explain why my order has not been delivered within the expected timeframe?""",delay
"""Can you give me a glimpse of your product offerings?""",items
"""Can you give me an idea of your product inventory?""",items
"""Can you give me an overview of your product selection?""",items
"""Can you give me an update on the delivery progress of my order?""",track
"""Can you give me an update on the delivery progress of my order?""",track
"""Can you give me an update on the delivery progress of my order?""",track
"""Can you give me an update on the delivery progress of my order?""",delivery
"""Can you give me an update on the delivery progress of my order?""",delivery
"""Can you give me an update on the delivery status of my order?""",track
"""Can you give me an update on the estimated arrival time of my order?""",delivery
"""Can you give me details about the items you sell?""",items
"""Can you give me information on your product inventory?""",items
"""Can you guide me on how to track my order?""",track
"""Can you help me locate my order using my order ID?""",track
"""Can you help me track my order if I placed it as a guest?""",track
"""Can you offer any compensation or resolution for the inconvenience caused by the delay in my order?""",delay
"""Can you please check the delivery status of my order?""",delivery
"""Can you provide a clear explanation for the delay in delivering my order?""",delay
"""Can you provide a revised delivery date for my order that has experienced a delay?""",delay
"""Can you provide a summary of your product inventory?""",items
"""Can you provide an estimate on the delivery time for my order?""",track
"""Can you provide an estimated delivery date for my order?""",delivery
"""Can you provide an estimated delivery window for my order?""",track
"""Can you provide an estimated delivery window for my order?""",track
"""Can you provide an estimated delivery window for my order?""",track
"""Can you provide an estimated delivery window for my order?""",delivery
"""Can you provide an estimated delivery window for my order?""",delivery
"""Can you provide an estimated delivery window for my order?""",delivery
"""Can you provide an estimated delivery window for my order?""",delivery
"""Can you provide an estimated time of arrival for my order?""",track
"""Can you provide an estimated time of arrival for my order?""",track
"""Can you provide an estimated time of arrival for my order?""",track
"""Can you provide an estimated time of arrival for my order?""",delivery
"""Can you provide an estimated time of arrival for my order?""",delivery
"""Can you provide an estimated time of delivery for my delayed order?""",delay
"""Can you provide an estimated timeframe for the delivery of my delayed order?""",delay
"""Can you provide an overview of the items available for purchase?""",items
"""Can you provide an overview of the items you have for sale?""",items
"""Can you provide an overview of your available offerings?""",items
"""Can you provide an overview of your offerings?""",items
"""Can you provide an update on the delivery progress of my order?""",track
"""Can you provide an update on the delivery status of my order?""",track
"""Can you provide an update on the delivery status of my order?""",track
"""Can you provide an update on the delivery status of my order?""",delivery
"""Can you provide an update on the delivery status of my order?""",delivery
"""Can you provide an update on the delivery status of my order?""",delivery
"""Can you provide an update on the expected delivery date for my order?""",track
"""Can you provide an update on the status of my delayed order?""",delay
"""Can you provide an update on the status of my delivery?""",track
"""Can you provide details on the range of items you sell?""",items
"""Can you provide information on how I can track my order?""",track
"""Can you provide information on my delivery status?""",track
"""Can you provide information on your available items?""",items
"""Can you provide me with the contact information of the shipping company to track my order?""",track
"""Can you provide me with the current location of my order?""",track
"""Can you provide me with the tracking number for my order?""",track
"""Can you provide the estimated time of arrival for my order?""",track
"""Can you tell me about the items you have in stock?""",items
"""Can you tell me about your available merchandise?""",items
"""Can you tell me about your product inventory and offerings?""",items
"""Can you track the progress of my order and provide an update?""",track
"""Can you track the progress of my order and provide an update?""",delivery
"""Can you track the whereabouts of my order?""",track
"""Charged for order, but no confirmation received. What steps should I follow?""",confirm
"""Charged for order, but no confirmation received. What steps should I follow?""",confirm
"""Charged for order, but no confirmation. How do I ensure confirmation?""",confirm
"""Charged for order, but no confirmation. How to get it confirmed?""",confirm
